house_id,x1,y1,x2,y2,x3,y3,x4,y4
1,91.473704378,71.5905714395,92.6528126702,71.3894312771,92.3449414336,72.7703550325,91.5848174553,72.1714376248
2,113.6208277,113.317976681,114.636421024,113.813046648,114.387756357,114.926721337,113.949156978,114.07260002
3,117.536213108,68.4270461248,118.077792756,68.4085108255,118.236802728,69.1217733492,117.790736361,69.9948516438
4,134.226695182,94.5437235326,135.835858227,94.8997161377,135.454217034,95.3023710137,134.114797742,95.5834495023
5,83.0913190943,122.62873157,84.9752169555,122.124771971,84.7074109864,123.507224736,83.3440378472,123.945787245
6,116.751393379,18.2093883789,117.594981691,18.0746540032,117.412696631,19.6686199997,116.108823935,19.4749488037
7,41.266475573,129.594993482,42.4033412316,129.725076363,42.0811416515,130.875900079,41.9012677839,130.489327655
8,78.1683695827,123.21987102,79.566281702,123.911049322,79.3564882922,124.594347397,78.6185455056,124.079072764
9,68.1615685945,84.0475937191,69.216382008,84.995044922,69.2175314536,85.8863806254,68.4898765295,85.227534051
10,36.1473867773,107.429678294,37.430036845,107.539575817,37.3982156418,108.56531788,36.3838742179,108.947570077
11,106.036945621,19.6092902273,107.728306602,19.3988707047,107.148414549,20.6462396016,106.277182075,20.6972830974
12,23.3626622222,77.2480609337,24.30974565,77.8939016466,24.3298665419,78.3546913907,23.3413687591,78.5211645736
13,87.0613171437,14.0661275576,88.8731115575,14.211717313,88.3092591676,15.0831269497,87.8228567515,15.6735051833
14,80.9456999401,104.682757132,81.168646736,104.336521476,81.8057882068,105.71916976,80.7628234955,105.143558822
15,110.265310879,109.516451905,111.357228406,109.888016292,111.405112324,110.745701972,110.468982931,110.746350782
16,1.92185662898,49.8524887349,2.11546768341,49.7769140316,2.58397473532,50.1797729058,1.47238023234,50.4258636799
17,125.916106958,49.956735665,126.409301202,49.3717500622,126.659429514,50.4671012002,125.95804067,50.4813752627
18,87.5864173641,101.724601637,88.096730138,101.615032197,88.7563415469,102.569904045,87.3916649344,102.582342624
19,119.898607205,148.328312272,120.618476807,148.264922466,120.921362794,149.814778006,119.203668052,149.508566422
20,143.22010986,96.4943891176,144.997276669,96.6588445077,144.202174277,97.8978297682,143.327033535,97.5782243346
21,129.358235423,36.5722301337,130.740158489,36.9201081557,130.554027567,37.538687916,129.108957529,37.6973882991
22,63.0169685899,42.0153123373,64.5006478428,42.0047783376,64.1757961933,43.1526617067,63.2393027087,43.5577656213
23,82.7468557392,61.8708837106,83.2213949676,61.6156459411,83.5967956977,62.4907920383,82.0988780111,62.2556565826
24,68.0755159781,102.370758535,69.1625549202,102.461582885,69.4921518731,103.716546165,68.8297271128,103.202422848
25,70.7116017302,67.29058961,71.0155678048,67.8260772853,71.5721269766,68.4941728303,70.7009149791,68.821455406
26,142.433157499,95.4101711186,143.430282935,95.3132270317,143.22010986,96.4943891176,142.445608239,96.7474245192
27,98.7697131561,88.7059978554,99.672036484,88.333655719,99.6500982777,89.6121885479,98.3400929934,89.0066305019
28,35.8781092499,113.275616374,36.2221184643,113.071647243,36.9346352271,114.22366197,35.2443171767,114.464763788
29,0.945084666756,13.6445061832,1.82183040561,13.2319712066,1.75208244076,14.003127039,0.630929057667,14.1274512538
30,35.670843063,88.5234565197,36.2834818313,88.0976741185,36.1917604913,89.1787972446,35.7427887013,89.8147091245
31,42.8559236616,40.7041296758,43.8614755961,40.8198472138,43.7598026619,41.3293229886,42.096099898,41.4086884867
32,111.380828339,21.8747135496,112.41510858,21.1773287174,112.503910982,22.4151304923,111.225841224,22.4178240953
33,57.1056741299,5.38218396577,58.3132259426,5.15209098877,58.2744456937,6.5335114949,57.7078818897,6.59643161394
34,109.460447452,48.0051729052,110.114359952,48.6126894923,110.758809799,49.9476647211,109.277128326,49.3358548861
35,26.2552623723,83.092093825,27.4242358939,83.0562537966,27.1863992368,84.91034799,26.5217031789,84.1618588774
36,65.6909072486,64.2989303733,66.2225940523,64.6327710478,66.7001763513,65.7493370625,65.0173433132,65.5918654926
37,4.11172092978,110.482027728,5.26694536248,110.668544104,5.40088440197,111.120995434,4.04371264893,111.299788381
38,38.8074289279,101.33083129,39.8168984537,101.240842271,39.8838214032,102.111718996,38.1816963466,102.768963919
39,77.2425775967,135.389100166,78.4077167002,135.591376262,78.315403174,136.360683349,77.1080206084,136.202525516
40,46.4994894528,68.6561464639,47.3292144196,68.4604768416,47.4482860758,69.4777396123,46.3728674101,69.3214643841
41,129.255984117,143.988169884,130.259630023,143.498986093,130.404402058,144.441645074,129.295585273,144.13399046
42,22.6406915567,78.9447403675,23.3413687591,78.5211645736,23.2431771284,79.142074237,22.2644234479,79.9278193181
43,3.65155594589,77.2673887256,4.0975993765,77.7509615346,4.49775100546,78.2212872611,3.88840847216,78.7642795898
44,84.0938403217,67.6871766864,85.9659371966,67.0839010965,85.1142149342,68.4058671529,84.2758338542,68.760738684
